"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"917","Prometheus Block 2 - 1","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"918","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"919","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"920","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"921","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"922","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"923","MakerSat-0","Northwest Nazarene University","University","US","1U","12/31/16","not launched","ISS","Space Activity"
"924","PICASSO","Belgian Institute for Space Aeronomy and the Royal Observatory of Belgium.","Institute","Belgium","3U","12/31/16","TBD","TBD","Space Science"
"925","ASTERIA (ExoplanetSat, Arcsecond Space Telescope Enabling Research in Astrophysics)","NASA Jet Propulsion Laboratory","Agency","US","6U","12/31/16","-","not launched","Space Science"
"926","Lemur-2","Spire","Company","US","3U","12/31/16","TBD","TBD","Space Activity"
"927","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"928","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"929","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"930","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"931","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"932","Mayak","Moscow State University of Mechanical Engineering","University","Russia","3U","12/31/16","not launched","not launched","Space Activity"
"933","CSUNSat1 (California State University Northridge Sat)","California State University","University","US","2U","12/31/16","not launched","ISS","Space Technology"
"934","Prometheus Block 2 - 2","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"935","MarCO 1 (Mars Cube One)","NASA","Agency","US","6U","12/31/16","Atlas V","Mars, deep space","Space Technology"
"936","Hera-2","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"937","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"938","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"939","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"940","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"941","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"942","PW-Sat 2","Warsaw University of Technology","University","Poland","2U","12/31/16","-","-","Space Technology"
"943","Hera-1","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"944","Prometheus Block 2 - 3","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"945","Flock-2c xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"946","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"947","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"948","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"949","Flock-2x xx","Planet Labs","Company","US","3U","12/31/16","not launched","not launched","Space Activity"
"950","S-Net 1","Technische Universität Berlin","University","Germany","8 kg","05/31/17","-","not launched","Space Technology"
"951","S-Net 2","Technische Universität Berlin","University","Germany","8 kg","05/31/17","-","not launched","Space Technology"
"952","S-Net 3","Technische Universität Berlin","University","Germany","8 kg","05/31/17","-","not launched","Space Technology"
"953","S-Net 4","Technische Universität Berlin","University","Germany","8 kg","05/31/17","-","not launched","Space Technology"
"954","DaVinci","North Idaho STEM Charter Academy","School","US","3U","2017-06-31","not launched","not launched","Space Activity"
"955","SMOG-1 (BME-1)","Budapest University of Technology and Economics","University","Hungary","PocketQube 1p","07/31/17","-","not launched","Space Technology"
"956","RAHS","Raisbeck Aviation High School","School","US","1U","08/31/17","not launched","not launched","Space Activity"
"957","MiTEE-B (Miniature Tether Electrodynamics Experiment)","University of Michigan","University","US","3U","12/31/17","-","not launched","Space Technology"
"958","SeaHawk-1","University of North Carolina Wilmington","University","US","3U","12/31/17","-","600 km, 98 degree inclination","Space Activity"
"959","SeaHawk-2","University of North Carolina Wilmington","University","US","3U","12/31/17","-","600 km, 98 degree inclination","Space Activity"
"960","ROBUSTA-1B","University of Montpellier II","University","France","1U","12/31/17","Falcon 9","not launched","Space Technology"
"961","CubETH","Swiss Federal Institute of Technology in Lausanne","University","Switzerland","1U","12/31/17","-","not launched","Space Technology"
"962","Irazu (Dspace)","Costa Rica Institute of Technology (TEC)","University","Costa Rica","1U","12/31/17","-","not launched","Space Technology"
"963","Buccaneer Main Mission","Australian Defence Science and Technology Organisation","Military","Australia","3U","12/31/17","-","-","Space Technology"
"964","CuSPP","Southwest Research Institute","Institute","US","3U","12/31/17","-","not launched","Space Science"
"965","RSat-P (Repair CubeSat Prototype)","United States Naval Academy","University","US","3U","12/31/17","not launched","not launched","Space Activity"
"966","CHOMPTT (CubeSat Handling of Multisystem Precision Time Transfer)","University of Florida","University","US","3U","12/31/17","-","not launched","Space Technology"
"967","OPS-SAT","ESOC, ESA (European Space Agency)","Agency","Germany","3U","12/31/17","not launched","not launched","Space Technology"
"968","-","SkyLabs","Company","Slovenia","3U","12/31/17","-","not launched","Space Technology"
"969","Finland100","Aalto University","University","Finland","2U","12/31/17","TBD","TBD","Space Activity"
"970","CySat 1","Iowa State University","University","US","1U","12/31/17","-","not launched","Space Technology"
"971","EQUiSat","Brown University","University","US","1U","12/31/17","-","not launched","Space Technology"
"972","Roland-1","University of Bremen","University","Germany","2U","12/31/17","-","not launched","Space Technology"
"973","Samara Earth Observation Unit","Samara State Aerospace University","University","Russia","2U","12/31/17","-","not launched","Space Activity"
"974","MIST (MIiniature STudent satellite)","Royal Institute of Technology (KTH)","University","Sweden","3U","12/31/17","-","-","Space Technology"
"975","-","Imperial College London","University","UK","3U","12/31/17","-","-","Space Activity"
"976","MiTEE-A (Miniature Tether Electrodynamics Experiment)","University of Michigan","University","US","3U","12/31/17","-","not launched","Space Technology"
"977","INSPIRE-A (Interplanetary NanoSpacecraft Pathfinder In Relevant Environment)","Jet Propulsion Laboratory, California Institute of Technology","Agency","US","3U","12/31/17","TBD","Earth-escape","Space Technology"
"978","INSPIRE-B (Interplanetary NanoSpacecraft Pathfinder In Relevant Environment)","Jet Propulsion Laboratory, California Institute of Technology","Agency","US","3U","12/31/17","TBD","Earth-escape","Space Technology"
"979","EYE-SAT","CNES","Agency","France","3U","12/31/17","not launched","not launched","Space Science"
"980","BIRDY-GTO (GTO-BIRDY)","National Cheng Kung University","University","Taiwan","3U","12/31/18","-","GTO","Space Technology"
"981","HaloSat","University of Iowa","University","US","6U","12/31/18","not launched","not launched","Space Science"
"982","Lunar Flashlight","NASA","Agency","US","6U","12/31/18","SLS (Space Launch System)","Moon","Space Technology"
"983","NEA-Scout (Near Earth Asteroid Scout)","NASA Marshall Space Flight Center","Agency","US","6U","12/31/18","SLS (Space Launch System)","not launched","Space Science"
"984","SORTIE (Scintillation Observations and Response of The Ionosphere to Electrodynamics)","ASTRA (Atmospheric & Space Technology Research Associates)","Company","US","6U","12/31/18","-","not launched","Space Science"
"985","MOVE II WARP","Technical University of München","University","Germany","2U","12/31/18","-","not launched","Space Technology"
"986","CIRiS (Compact Infrared Radiometer in Space)","Utah State University","University","US","6U","12/31/18","not launched","not launched","Space Technology"
"987","CIRAS (CubeSat Infrared Atmospheric Sounder)","NASA","Agency","US","6U","12/31/18","not launched","not launched","Space Technology"
"988","RainCube","NASA","Agency","US","6U","12/31/18","not launched","not launched","Space Technology"
"989","Mediterranean-Sat","University of Montpellier II","University","France","3U","12/31/18","-","not launched","Space Technology"
"990","iSAT-1","NASA Marshall Space Flight Center","Agency","US","12U","12/31/18","not launched","n","Space Technology"
"991","CubeRRT (CubeSat Radiometer RFI Technology Validation )","Ohio State University","University","US","6U","12/31/18","not launched","not launched","Space Technology"
"992","IGOSat","Université de Paris 7 - Diderot","University","France","3U","12/31/18","-","not launched","Space Technology"
"993","Casaa-Sat","Université d'Aix - Marseille","University","France","2U","12/31/18","-","not launched","Space Technology"
"994","CADRE 1 Target","Swiss Federal Institute of Technology in Lausanne","University","Switzerland","4U","12/31/18","TBD","not launched","Space Technology"
"995","CADRE 1 Chaser","Swiss Federal Institute of Technology in Lausanne","University","Switzerland","8U","12/31/18","TBD","not launched","Space Technology"
"996","Buccaneer Flight 3 A","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/18","-","-","Space Technology"
"997","CuSPP+","Southwest Research Institute","Institute","US","6U","12/31/18","-","not launched","Space Science"
"998","Buccaneer Flight 3 B","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/18","-","-","Space Technology"
"999","12 of 13 SLS 6U Interplanetary or Lunar CubeSats","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1000","13 of 13 SLS 6U Interplanetary or Lunar CubeSats","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1001","10 of 13 SLS 6U Interplanetary or Lunar CubeSats","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1002","11 of 13 SLS 6U Interplanetary or Lunar CubeSats","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1003","Lunar IceCube","Morehead State University","University","US","6U","12/31/18","SLS (Space Launch System)","Lunar","Space Science"
"1004","SkyFire","Lockheed Martin","Company","US","6U","12/31/18","SLS (Space Launch System)","Lunar fly-by","Space Technology"
"1005","LunaH-Map","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar","-"
"1006","CuSP","-","-","US","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1007","ArgoMoon","Argotec","Company","Italy","6U","12/31/18","SLS (Space Launch System)","Lunar or Interplanetary","-"
"1008","9 of 13 SLS 6U Interplanetary or Lunar CubeSats","-","-","US","6U","12/31/18","SLS (Space Launch System)","Interplanetary","-"
"1009","EON-MW","Massachusetts Institute of Technology","University","US","12U","12/31/18","not launched","not launched","Space Technology"
"1010","BioSentinel","NASA Ames Research Center","Agency","US","6U","12/31/18","SLS (Space Launch System)","Heliocentric orbit, Lunary Fly-by","Space Activity"
"1011","ALCEK","BOREAS Space (Bulgarian Orbital REsearch and Satellites)","Company","Bulgaria","6U","12/31/19","-","Moon","Space Technology"
"1012","RVSAT-1","R V College of Engineering","University","India","2U","12/31/19","PSLV","not launched","Space Technology"
"1013","CleanSpace One","Swiss Space Center","University","Switzerland","TBD","12/31/20","SOAR","not launched","Space Technology"
"1014","SERB, SUMO (X-CubeSat 2, Solar Ultraviolet Monitor and Ozone Nanosatellite)","LATMOS (Laboratoire Atmosphères, Milieux, Observations Spatiales)","Institute","France","3U","12/31/20","-","600 km, 98 degree inclination","Space Activity"
"1015","GRE-1","Université Joseph Fourier de Grenoble","University","France","2U","12/31/20","-","not launched","Space Technology"
"1016","Buccaneer Flight 4 A","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/20","-","-","Space Technology"
"1017","Buccaneer Flight 4 B","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/20","-","-","Space Technology"
"1018","Buccaneer Flight 4 C","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/20","-","-","Space Technology"
"1019","Buccaneer Flight 4 D","University of New South Wales at the Australian Defence Force Academy (UNSW Canberra)","Military","Australia","3U","12/31/20","-","-","Space Technology"
"1020","NIMPHSAT","Institut Supérieur de l'Aéronautique et de l'Espace","University","France","3U","12/31/21","-","not launched","Space Technology"
"1021","OEDIPE","École Elisa","University","France","3U","12/31/21","-","not launched","Space Technology"
"1022","METEOR","Université Pierre et Marie Curie","University","France","3U","12/31/21","-","not launched","Space Technology"
"1023","CIRCUS","Université Pierre et Marie Curie","University","France","2U","12/31/21","-","not launched","Space Technology"
"1024","Jumpsat","Institut Supérieur de l'Aéronautique et de l'Espace","University","France","3U","12/31/21","-","not launched","Space Technology"
"1025","MaSat-2","Budapest University of Technology and Economics","University","Hungary","TBD","TBD","-","not launched","Space Technology"
"1026","UAPSAT-2","Alas Peruanas University","University","Peru","6U","TBD","-","-","Space Technology"
"1027","Libertad-2","Sergio Arboleda University","University","Colombia","3U","TBD","TBD","not launched","Space Technology"
"1028","UCISat 1","University of California, Irvine","University","US","1U","TBD","-","not launched","Space Technology"
"1029","MisST (Microsatellite in-situ Space Technologies)","NASA Ames Research Center","Agency","US","3U","TBD","-","not launched","Space Activity"
"1030","UCISat 2","University of California, Irvine","University","US","3U","TBD","-","not launched","Space Technology"
"1031","AOSAT (Asteroid Origins Satellite)","Arizona State University","University","US","3U","TBD","TBD","TBD","Space Science"
"1032","Ulises 2","National Autonomous University of Mexico","University","Mexico","TubeSat","TBD","TuPOD","not launched","Space Activity"
"1033","NEUDOSE","McMaster University","University","US","3U","TBD","TBD","TBD","Space Technology"
"1034","JAISAT-1","RAIST (Radio Amateur Society of Thailand)","Non-profit","Thailand","1U","TBD","TBD","not launched","Space Technology"
"1035","UND-Sat","University of North Dakota","University","US","1U","TBD","-","not launched","-"
"1036","UNSA-SAT1","National University of St Agustin of Arequipa","University","Peru","2U","TBD","-","-","-"
"1037","RyeF3Ex-1 (Ryerson Femtosatellite Formation Flying Experiment)","Ryerson University","University","Canada","PocketQube","TBD","-","-","Space Activity"
"1038","NANOSATC-BR2","National Institute for Space Research","Institute","Brazil","2U","TBD","-","not launched","Space Technology"
"1039","SASSat","Singapore American School","School","Singapore","PocketQube 1p","TBD","TBD","TBD","Space Activity"
"1040","RyeF3Ex-2 (Ryerson Femtosatellite Formation Flying Experiment)","Ryerson University","University","Canada","PocketQube","TBD","-","-","Space Activity"
"1041","Narkissos-1","Spacebooth","Company","Belgium","TubeSat","TBD","-","not launched","Space Activity"
"1042","CACTUS-1 (Coordinated Applied Capitol Technology University Satellite)","Capitol Technology University","University","US","3U","TBD","TBD","TBD","Space Technology"
"1043","3CAT1","Polytechnic University of Catalonia (UPC, BarcelonaTECH)","University","Spain","1U","TBD","-","not launched","Space Technology"
"1044","NEUTRON 1 (Low Earth Orbit Neutron Flux Detection and Cosmos Mission Operations Technology Demo)","University of Hawaii at Manoa","University","US","3U","TBD","-","not launched","Space Technology"
"1045","PICS (Passive Inspection CubeSat)","Brigham Young University","University","US","3U","TBD","not launched","not launched","Space Technology"
"1046","3CAT2","Universitat Politècnica de Catalunya – Barcelona TECH","University","Spain","6U","TBD","-","not launched","Space Activity"
"1047","NEXUS (Next Education X (cross) Unique Satellite)","Nihon University","University","Japan","1U","TBD","-","not launched","Space Technology"
"1048","WISCER (Wideband Ionospheric Sounder Cubesat Experiment)","University of Birmingham","University","UK","3U","TBD","-","not launched","Space Science"
"1049","Q-PACE (Cu-PACE, CubeSat Particle Aggregation and Collision Experiment)","University of Central Florida","University","US","2U","TBD","TBD","TBD","Space Science"
"1050","ArduOrbiter-1","Amateur group","Independent","UK","PocketQube 1p","TBD","TBD","TBD","Space Activity"
"1051","3-STAR","Polytechnic University of Turin","University","Italy","3U","TBD","-","not launched","Space Technology"
"1052","NIRA (Nanosatellite for Intelligent Radio frequency Analysis)","Mälardalen University","University","Sweden","1U","TBD","-","-","Space Technology"
"1053","YUsend-1","York University","University","Canada","1U","TBD","-","not launched","-"
"1054","Alpha (ɑ, CubeMessenger)","BOREAS Space (Bulgarian Orbital REsearch and Satellites)","Company","Bulgaria","1U","TBD","-","not launched","Space Technology"
"1055","NMTSat (New Mexico Tech Nanosatellite)","New Mexico Institute of Mining and Technology","University","US","3U","TBD","-","not launched","Space Technology"
"1056","YUsend-2","York University","University","Canada","1U","TBD","-","not launched","Space Activity"
"1057","Discovery 1a","Photos to Space","Company","US","PocketQube 1p","TBD","TBD","TBD","Space Activity"
"1058","ORS Squared","University of New Mexico","University","US","6U","TBD","TBD","not launched","Space Technology"
"1059","AeroCube-9 (LMPC CubeSat)","The Aerospace Corporation","Non-profit","US","3U","TBD","-","not launched","Space Technology"
"1060","OPAL (Optical Profiling of the Atmospheric Limb)","Utah State University","University","US","3U","TBD","-","not launched","Space Technology"
"1061","SurfSat","University of Central Florida","University","US","3U","TBD","TBD","TBD","Space Science"
"1062","EARS-PocketQube","University of Surrey Electronics & Amateur Radio Society","University","UK","PocketQube 1p","TBD","TBD","TBD","Space Activity"
"1063","OPEN (OpenOrbiter, OPEN: Open Prototype for Educational NanoSats)","Univeristy of North Dakota","University","US","1U","TBD","-","not launched","Space Technology"
"1064","OzQube-1","-","Individual","Australia","PocketQube 1p","TBD","-","not launched","Space Technology"
"1065","MemSat","Rowan University","University","US","3U","TBD","not launched","not launched","Space Technology"
"1066","Aleksandr (Consat-2)","Concordia University","University","Canada","3U","TBD","-","not launched","Space Activity"
"1067","PATRIOT (A Cubesat NEO Assessment Precursor Mission)","University of Michigan","University","US","3U","TBD","-","not launched","Space Technology"
"1068","RadFXSat-2","Vanderbilt University","University","US","3U","TBD","not launched","not launched","Space Technology"
"1069","ANDESITE (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors)","Boston University","University","US","3U","TBD","-","not launched","Space Technology"
"1070","PEARL","Utah State University","Military","US","3U","TBD","-","not launched","Space Technology"
"1071","CAPE-3","University of Louisiana at Lafayette","University","US","3U","TBD","not launched","not launched","Space Activity"
"1072","Antarctic Broadband Nanosatellite Demonstration Mission","Australian Space Research Program","Agency","Australia","6.82 kg","TBD","-","not launched","Space Technology"
"1073","PilsenCUBE","University of West Bohemia","University","Czech","1U","TBD","-","not launched","Space Technology"
"1074","AquilaSat","Special Concepts","Company","Bulgaria","3U","TBD","-","not launched","Space Technology"
"1075","Pipit","ATSB (Astronautic Technology (M) Sdn. Bhd)","Institute","Malaysia","PocketQube","TBD","-","not launched","-"
"1076","DneprCubeSat","Youth Aerospace Education National Center","Agency","Ukraine","2U","TBD","TBD","TBD","Space Science"
"1077","Lokahi","University of Hawaii","University","US","PocketQube 1p","TBD","TBD","TBD","Space Activity"
"1078","CP11 (ISX, Ionospheric Scintillation eXplorer)","California Polytechnic State University","University","US","2U","TBD","not launched","not launched","Space Technology"
"1079","Aramis-C1","Polytechnical University of Torino","University","Italy","1U","TBD","-","not launched","Space Technology"
"1080","PISAT","ITE Space (Interactive Technical Enterprises Space)","Company","UK","PocketQube 1p","TBD","-","not launched","Space Technology"
"1081","INCA (Ionospheric Neutron Content Analyzer)","New Mexico State University","University","US","3U","TBD","not launched","not launched","Space Technology"
"1082","Morgana (Meteoroid On-orbit Research in Geopsace for Advancing Near-earth Awareness)","Stanford University","University","US","3U","TBD","-","not launched","Space Technology"
"1083","ARAPAIMA (Application for RSO Autonomous Proximity Analysis and Imaging)","Embry-Riddle Aeronautical University","University","US","6U","TBD","-","not launched","Space Technology"
"1084","Politech.1","Polytechnic University of Valencia","University","Spain","3U","TBD","-","not launched","Space Technology"
"1085","F-2","FPT University","University","Vietnam","2U","TBD","TBD","TBD","Space Science"
"1086","PQ SAT (TRSI)","STADOKO UG","Company","Germany","PocketQube 1p","TBD","-","not launched","-"
"1087","CaNOP (Canopy Near-IR Observing Project)","Carthage College","University","US","3U","TBD","not launched","not launched","Space Technology"
"1088","PR CubeSat","University of Puerto Rico","University","US","1U","TBD","-","not launched","Space Technology"
"1089","Status","Michigan Technological University","University","US","3U","TBD","not launched","not launched","Space Technology"
"1090","AubieSat-2 A","Aubum University","University","US","3U","TBD","-","not launched","Space Science"
"1091","PropSat (ALL-STAR Propulsion Module Satellite)","University of Colorado at Boulder","University","US","3U","TBD","-","not launched","Space Technology"
"1092","AubieSat-2 B","Aubum University","University","US","3U","TBD","-","not launched","Space Science"
"1093","PTLS (Persistent Telemetry Monitoring, Tracking & Control Using Low Earth Orbit Satcom)","United States Air Force","Military","US","3U","TBD","-","not launched","Space Technology"
"1094","CubeSat-UD","District University of Bogotá","University","Colombia","1U","TBD","not launched","not launched","Space Technology"
"1095","Flock-2d 1","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1096","Beckman CubeSat","Arnold O. Beckman High School ","School","US","TBD","TBD","-","not launched","Space Technology"
"1097","Flock-2d 2","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1098","BIRDY","National Cheng Kung University","University","Taiwan","3U","TBD","-","Mars free-return","Space Technology"
"1099","RBLE (Radiation Belt Loss Experiment)","NASA Goddard Space Flight Center","Agency","US","6U","TBD","-","not launched","Space Technology"
"1100","SINOD-D 2","SRI International","Company","US","2U","TBD","not launched","not launched","Space Technology"
"1101","BUAA-Picosat","Beihang University","University","China","2U","TBD","-","not launched","-"
"1102","ROBUSTA-2","University of Montpellier II","University","France","1U","TBD","-","not launched","Space Technology"
"1103","CeREs (Compact Radiation Belt Explorer)","NASA Goddard Space Flight Center","Agency","US","3U","TBD","-","not launched","Space Science"
"1104","SMDC-ONE 2.5","United States Army Space and Missile Defense Command","Military","US","3U","TBD","-","not launched","Space Technology"
"1105","TRISAT","University of Maribor","University","Slovenia","3U","TBD","TBD","TBD","Space Technology"
"1106","PTecSat","University of Southern California","University","US","3U","TBD","not launched","not launched","Space Technology"
"1107","ChargerSat-2","University of Alabama in Huntsville","University","US","2U","TBD","-","not launched","Space Technology"
"1108","SMDC-ONE 2.6","United States Army Space and Missile Defense Command","Military","US","3U","TBD","-","not launched","Space Technology"
"1109","CHiRP","NASA Jet Propulsion Laboratory","University","US","6U","TBD","-","not launched","Space Science"
"1110","Flock-2d 3","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1111","SMDC-ONE 2.7","United States Army Space and Missile Defense Command","Military","US","3U","TBD","-","not launched","Space Technology"
"1112","MDOT","Stanford University","University","US","6U","TBD","not launched","HEO/GEO","Space Science"
"1113","Flock-2d 4","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1114","PropCube 2 (Fauna, Propagation CubeSat)","Naval Postgraduate School (NPS)","University","US","1U","TBD","not launched","not launched","Space Science"
"1115","TRISAT 2","University of Maribor","University","Slovenia","6U","TBD","TBD","TBD","Space Technology"
"1116","-","Al-Farabi Kazak National University","University","Kazakhstan","2U","TBD","-","-","Space Technology"
"1117","CINEMA 4","University of California","University","US","3U","TBD","-","not launched","Space Science"
"1118","Flock-2d 5","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1119","NetSat-1","University of Würzburg","University","Germany","1U","TBD","-","not launched","Space Technology"
"1120","Flock-2d 6","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1121","RSat-D (Repair CubeSat Demonstrator)","United States Naval Academy","University","US","3U","TBD","not launched","not launched","Space Activity"
"1122","RavenSat","Northwest Indian College","University","US","1U","TBD","TBD","-","Space Technology"
"1123","CONASAT A","National Institute for Space Research","Institute","Brazil","8U","TBD","-","-","Space Activity"
"1124","Flock-2d 7","Planet Labs","Company","US","3U","TBD","Falcon 9","ISS","Space Activity"
"1125","CONASAT B","National Institute for Space Research","Institute","Brazil","8U","TBD","-","-","Space Activity"
"1126","Consat-1","Concordia University","University","Canada","3U","TBD","-","not launched","Space Technology"
"1127","Fox-1E","The Radio Amateur Satellite Corporation (AMSAT)","Company","US","1U","TBD","-","not launched","Space Technology"
"1128","SNAPS (Stanford Nano Picture Satellite)","Stanford University","University","US","0.25U","TBD","-","not launched","Space Technology"
"1129","CP7 (DAVE, Damping and Vibrations Experiment)","California Polytechnic University","University","US","1U","TBD","-","not launched","Space Technology"
"1130","GASPACS (Get Away Special Passive Attitude Control Satellite)","Utah State University","University","US","1U","TBD","-","not launched","Space Technology"
"1131","SpaceBuoy","Montana State University","University","US","3U","TBD","-","not launched","Space Science"
"1132","NetSat-2","University of Würzburg","University","Germany","1U","TBD","-","not launched","Space Technology"
"1133","GTOSat","NASA Goddard Space Flight Center","Agency","US","6U","TBD","not launched","Geosynchronous Transfer Orbit (GTO)","Space Technology"
"1134","GLADOS (Glint Analyzing Data Observation Satellite)","University at Buffalo (UB)","University","US","6U","TBD","-","not launched","Space Technology"
"1135","NetSat-3","University of Würzburg","University","Germany","1U","TBD","-","not launched","Space Technology"
"1136","CRaBSS (Characterizing Radiation Belt Sources and Sinks)","NASA Goddard Space Flight Center","University","US","6U","TBD","-","not launched","Space Technology"
"1137","GOSTE 1","University of Hawaii at Manoa","University","US","3U","TBD","-","not launched","Space Activity"
"1138","Star of Aoxiang","Northwestern Polytechnical University","University","China","100 g","TBD","-","not launched","Space Technology"
"1139","ECOSat-II (ECOSAT-1 was just concept?)","University of Victoria","University","Canada","3U","TBD","-","not launched","Space Technology"
"1140","Aoxiang-Sat","Northwestern Polytechnical University","University","China","12U","TBD","-","not launched","Space Technology"
"1141","Delta-Dsat","Cranfield University","University","UK","2U","TBD","TBD","TBD","Space Science"
"1142","CryoCube 2","NASA Kennedy Space Center","Agency","US","3U","TBD","-","not launched","Space Technology"
"1143","GranaSat","University of Granada","University","Spain","2U","TBD","-","-","-"
"1144","STARE C","Naval Postgraduate School","University","US","3U","TBD","-","not launched","Space Technology"
"1145","QB50","University of Bologna","University","Italy","-","TBD","TBD","TBD","-"
"1146","NetSat-4","University of Würzburg","University","Germany","1U","TBD","-","not launched","Space Technology"
"1147","Mursat-1","mur.at","Non-profit","Austria","TubeSat","TBD","Neptune (Interorbital Systems)","not launched","Space Activity"
"1148","Azad-1","Maulana Azad National Institute of Technology","University","India","1U","TBD","PSLV","not launched","Space Technology"
"1149","CSIP","Air Force Research Laboratory","Military","US","3U","TBD","-","not launched","Space Technology"
"1150","GROUP-C (GPS Radio Occultation and Ultraviolet Photometer on a Cubesat)","Naval Research Lab","Military","US","3U","TBD","-","not launched","Space Technology"
"1151","STRaND-2A","Surrey Satellite Technology","Company","UK","3U","TBD","-","not launched","Space Technology"
"1152","GOMX-4A","GomSpace ApS","Company","Denmark","6U","TBD","TBD","TBD","Space Activity"
"1153","Cuballute","Bundeswehr University Munich","University","Germany","3U","TBD","-","Mars","Space Activity"
"1154","STRaND-2B","Surrey Satellite Technology","Company","UK","3U","TBD","-","not launched","Space Technology"
"1155","RESat","VKI (von karman Institute)","Institute","Belgium","2U","TBD","TBD","TBD","-"
"1156","MPSAT-2","Test in Space / Solar MEMS","Company","Spain","3U","TBD","not launched","not launched","Space Activity"
"1157","ET-SAT","Addis Ababa Institute of Technology (AAiT)","University","Ethiopia","2U","TBD","TBD","TBD","Space Science"
"1158","CubeSail-A","University of Illinois","University","US","1.5U","TBD","-","not launched","Space Technology"
"1159","GTCube","University of the Valley of Guatemala","University","Guatemala","1U","TBD","-","-","Space Technology"
"1160","STUDSAT-2A","Nitte Meenakshi Institute of Technology","University","India","10 kg","TBD","PSLV","not launched","Space Technology"
"1161","CubeSail-B","University of Illinois","University","US","1.5U","TBD","-","not launched","Space Technology"
"1162","HeDI (Helium Doppler Imager)","NASA Goddard Space Flight Center","Agency","US","3U","TBD","-","not launched","Space Science"
"1163","STUDSAT-2B","Nitte Meenakshi Institute of Technology","University","India","10 kg","TBD","PSLV","not launched","Space Technology"
"1164","CubeSTAR","University of Oslo","University","Norway","2U","TBD","-","not launched","Space Technology"
"1165","Hermes 2","University of Colorado in Boulder","University","US","1U","TBD"," ","not launched","Space Technology"
